IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,144,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,156,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,157,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,157,0.00
34.169.10.201,80,80,false,SEA,North America,US,Seattle,158,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,158,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,159,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,161,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,164,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,165,0.00
35.187.41.171,2083,80,false,CDG,Europe,FR,Paris,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,167,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,168,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,168,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,172,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,174,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,176,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,176,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,177,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,181,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,181,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,189,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,190,0.00
34.147.101.117,2082,80,false,AMS,Europe,NL,Amsterdam,191,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,202,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,203,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,205,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,205,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,206,0.00
34.44.121.135,8080,80,false,ORD,North America,US,Chicago,207,0.00
34.169.10.201,443,80,false,SEA,North America,US,Seattle,209,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,211,0.00
34.48.186.69,80,80,false,IAD,North America,US,Ashburn,213,0.00
34.48.186.69,80,80,false,IAD,North America,US,Ashburn,218,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,219,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,220,0.00
35.232.39.116,80,80,false,ORD,North America,US,Chicago,220,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,224,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,225,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,237,0.00
104.196.221.253,80,80,false,ATL,North America,US,Atlanta,239,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,272,0.00
34.44.121.135,8080,80,false,ORD,North America,US,Chicago,295,0.00
